Date,Ranks,Crypto,Symbol,Market Cap,Closing Price,Supply,
05/05/13,1,Bitcoin,BTC,"$1,288,693,216.22",115.91,"11,118,050 BTC",
05/05/13,2,Litecoin,LTC,"$62,298,217.32",3.59,"17,348,954 LTC",
05/05/13,3,Namecoin,NMC,"$6,290,543.05",1.15,"5,465,350 NMC",
05/05/13,4,Peercoin,PPC,"$5,718,446.46",0.30,"18,830,240 PPC",
05/05/13,5,Feathercoin,FTC,"$2,017,436.23",0.31,"6,444,650 FTC",
05/05/13,6,Freicoin,FRC,"$1,627,438.51",0.08,"20,057,908 FRC",
05/05/13,7,Terracoin,TRC,"$1,367,162.39",0.57,"2,407,150 TRC",
05/05/13,8,Devcoin,DVC,"$1,052,081.53",0.00,"4,406,170,112 DVC",
05/05/13,9,Novacoin,NVC,"$1,015,804.46",3.69,"275,503 NVC",
05/05/13,10,Mincoin,MNC,"$118,657.23",0.12,"1,023,701 MNC",
02/06/13,1,Bitcoin,BTC,"$1,373,839,383.45",122.29,"11,234,075 BTC",
02/06/13,2,Litecoin,LTC,"$49,625,738.78",2.73,"18,197,154 LTC",
02/06/13,3,Namecoin,NMC,"$4,038,794.14",0.71,"5,694,100 NMC",
02/06/13,4,Peercoin,PPC,"$2,899,779.44",0.15,"19,122,498 PPC",
02/06/13,5,Novacoin,NVC,"$1,117,980.01",3.90,"286,310 NVC",
02/06/13,6,Devcoin,DVC,"$674,189.93",0.00,"4,594,120,192 DVC",
02/06/13,7,Terracoin,TRC,"$662,838.49",0.24,"2,779,550 TRC",
02/06/13,8,Feathercoin,FTC,"$545,794.55",0.08,"6,661,250 FTC",
02/06/13,9,Freicoin,FRC,"$417,750.51",0.02,"21,086,442 FRC",
02/06/13,10,CHNCoin,CNC,"$287,451.99",0.06,"5,109,858 CNC",
07/07/13,1,Bitcoin,BTC,"$848,838,935.56",74.56,"11,384,475 BTC",
07/07/13,2,Litecoin,LTC,"$51,099,940.90",2.66,"19,235,004 LTC",
07/07/13,3,Namecoin,NMC,"$2,598,102.11",0.44,"5,946,293 NMC",
07/07/13,4,Peercoin,PPC,"$2,582,887.38",0.13,"19,571,310 PPC",
07/07/13,5,Novacoin,NVC,"$867,500.25",2.84,"305,695 NVC",
07/07/13,6,Feathercoin,FTC,"$711,870.60",0.08,"9,452,950 FTC",
07/07/13,7,Terracoin,TRC,"$519,200.27",0.17,"3,108,670 TRC",
07/07/13,8,Devcoin,DVC,"$276,948.24",0.00,"4,823,869,952 DVC",
07/07/13,9,Freicoin,FRC,"$223,994.42",0.01,"22,244,892 FRC",
07/07/13,10,Yacoin,YAC,"$108,880.76",0.03,"4,232,722 YAC",
04/08/13,1,Bitcoin,BTC,"$1,209,792,869.08",105.14,"11,506,100 BTC",
04/08/13,2,Litecoin,LTC,"$60,288,260.68",3.01,"20,034,580 LTC",
04/08/13,3,XRP,XRP,"$45,983,543.33",0.01,"7,817,889,792 XRP *",
04/08/13,4,Namecoin,NMC,"$3,844,310.07",0.62,"6,186,543 NMC",
04/08/13,5,Peercoin,PPC,"$3,194,186.00",0.16,"19,855,732 PPC",
04/08/13,6,Feathercoin,FTC,"$2,066,053.89",0.17,"12,436,600 FTC",
04/08/13,7,Novacoin,NVC,"$1,855,987.14",5.46,"340,114 NVC",
04/08/13,8,Primecoin,XPM,"$889,983.29",0.65,"1,371,864 XPM",
04/08/13,9,Terracoin,TRC,"$596,396.30",0.17,"3,523,110 TRC",
04/08/13,10,Devcoin,DVC,"$321,340.28",0.00,"5,010,169,856 DVC",
01/09/13,1,Bitcoin,BTC,"$1,610,215,304.37",138.34,"11,639,550 BTC",
01/09/13,2,Litecoin,LTC,"$53,930,594.93",2.58,"20,869,430 LTC",
01/09/13,3,XRP,XRP,"$45,239,802.42",0.01,"7,817,889,792 XRP *",
01/09/13,4,Namecoin,NMC,"$3,689,125.25",0.57,"6,488,343 NMC",
01/09/13,5,Peercoin,PPC,"$3,593,391.71",0.18,"20,135,716 PPC",
01/09/13,6,Feathercoin,FTC,"$2,258,187.28",0.15,"14,975,650 FTC",
01/09/13,7,Novacoin,NVC,"$1,552,776.08",4.07,"381,781 NVC",
01/09/13,8,Primecoin,XPM,"$1,167,915.89",0.62,"1,876,088 XPM",
01/09/13,9,Terracoin,TRC,"$668,094.33",0.18,"3,658,610 TRC",
01/09/13,10,Infinitecoin,IFC,"$369,518.55",0.00,"76,056,100,864 IFC",
06/10/13,1,Bitcoin,BTC,"$1,522,686,975.00",129.00,"11,803,775 BTC",
06/10/13,2,XRP,XRP,"$76,764,377.04",0.01,"7,817,889,792 XRP *",
06/10/13,3,Litecoin,LTC,"$47,387,871.44",2.17,"21,865,942 LTC",
06/10/13,4,Peercoin,PPC,"$9,526,224.06",0.46,"20,512,972 PPC",
06/10/13,5,Namecoin,NMC,"$3,921,037.64",0.57,"6,908,100 NMC",
06/10/13,6,Feathercoin,FTC,"$2,182,887.18",0.12,"18,393,050 FTC",
06/10/13,7,Novacoin,NVC,"$1,764,749.40",4.18,"422,229 NVC",
06/10/13,8,Primecoin,XPM,"$807,006.99",0.34,"2,406,103 XPM",
06/10/13,9,Terracoin,TRC,"$649,240.25",0.17,"3,901,450 TRC",
06/10/13,10,Bullion,CBX,"$282,231.13",0.34,"839,108 CBX",
03/11/13,1,Bitcoin,BTC,"$2,568,713,147.70",215.05,"11,944,725 BTC",
03/11/13,2,Litecoin,LTC,"$65,383,974.75",2.88,"22,672,692 LTC",
03/11/13,3,XRP,XRP,"$55,978,082.55",0.01,"7,817,889,792 XRP *",
03/11/13,4,Peercoin,PPC,"$8,269,006.54",0.40,"20,672,878 PPC",
03/11/13,5,Namecoin,NMC,"$4,196,113.79",0.58,"7,200,100 NMC",
03/11/13,6,Novacoin,NVC,"$1,991,593.65",4.25,"468,441 NVC",
03/11/13,7,Primecoin,XPM,"$1,943,272.47",0.68,"2,868,691 XPM",
03/11/13,8,Feathercoin,FTC,"$1,806,331.01",0.08,"21,537,400 FTC",
03/11/13,9,WorldCoin,WDC,"$777,203.28",0.03,"28,685,280 WDC",
03/11/13,10,Mincoin,MNC,"$752,030.26",0.54,"1,398,890 MNC",
01/12/13,1,Bitcoin,BTC,"$11,531,708,652.96",955.85,"12,064,350 BTC",
01/12/13,2,Litecoin,LTC,"$817,326,372.71",34.74,"23,529,942 LTC",
01/12/13,3,XRP,XRP,"$402,593,977.40",0.05,"7,817,889,792 XRP *",
01/12/13,4,Peercoin,PPC,"$133,213,784.09",6.39,"20,863,298 PPC",
01/12/13,5,Namecoin,NMC,"$62,668,948.41",8.42,"7,441,950 NMC",
01/12/13,6,Quark,QRK,"$61,041,537.07",0.25,"245,628,672 QRK",
01/12/13,7,Megacoin,MEC,"$31,753,577.99",1.51,"21,092,224 MEC",
01/12/13,8,BitShares PTS,PTS,"$24,532,015.38",24.71,"992,689 PTS *",
01/12/13,9,Feathercoin,FTC,"$24,154,271.26",0.98,"24,774,450 FTC",
01/12/13,10,Primecoin,XPM,"$18,467,629.33",5.54,"3,331,144 XPM",
01/11/14,1,Bitcoin,BTC,"$11,379,661,042.38",933.53,"12,189,925 BTC",
01/11/14,2,Litecoin,LTC,"$659,900,583.81",26.83,"24,595,942 LTC",
01/11/14,3,XRP,XRP,"$197,241,280.51",0.03,"7,817,889,792 XRP *",
01/11/14,4,Peercoin,PPC,"$152,073,508.09",7.23,"21,019,558 PPC",
01/11/14,5,Omni,OMNI,"$110,826,236.25",178.90,"619,478 OMNI *",
01/11/14,6,Nxt,NXT,"$63,360,014.02",0.06,"999,998,016 NXT *",
01/11/14,7,Namecoin,NMC,"$60,232,061.64",7.84,"7,681,043 NMC",
01/11/14,8,BitShares PTS,PTS,"$24,630,584.87",19.31,"1,275,693 PTS *",
01/11/14,9,Quark,QRK,"$21,670,928.49",0.09,"247,062,160 QRK",
01/11/14,10,Megacoin,MEC,"$18,931,093.85",0.88,"21,598,724 MEC",
06/12/14,1,Bitcoin,BTC,"$10,190,038,593.97",825.37,"12,346,025 BTC",
06/12/14,2,Litecoin,LTC,"$568,440,705.88",22.40,"25,376,204 LTC",
06/12/14,3,XRP,XRP,"$168,555,395.10",0.02,"7,817,889,792 XRP *",
06/12/14,4,Peercoin,PPC,"$121,775,514.33",5.77,"21,107,370 PPC",
06/12/14,5,Nxt,NXT,"$66,887,849.48",0.07,"999,998,016 NXT *",
06/12/14,6,Omni,OMNI,"$53,732,367.19",86.74,"619,478 OMNI *",
06/12/14,7,Dogecoin,DOGE,"$53,548,741.65",0.00,"41,857,077,248 DOGE",
06/12/14,8,Namecoin,NMC,"$43,247,803.90",5.46,"7,927,093 NMC",
06/12/14,9,Quark,QRK,"$24,838,589.61",0.10,"247,482,608 QRK",
06/12/14,10,BitShares PTS,PTS,"$20,423,494.21",14.44,"1,413,980 PTS *",
02/03/14,1,Bitcoin,BTC,"$6,978,523,797.83",559.79,"12,466,325 BTC",
02/03/14,2,Litecoin,LTC,"$333,811,790.16",12.74,"26,191,604 LTC",
02/03/14,3,Auroracoin,AUR,"$258,801,442.74",24.42,"10,597,976 AUR",
02/03/14,4,XRP,XRP,"$105,879,985.72",0.01,"7,817,889,792 XRP *",
02/03/14,5,Peercoin,PPC,"$63,829,755.97",3.01,"21,193,990 PPC",
02/03/14,6,Dogecoin,DOGE,"$53,288,533.34",0.00,"55,903,633,408 DOGE",
02/03/14,7,Nxt,NXT,"$44,079,428.63",0.04,"999,998,016 NXT *",
02/03/14,8,Omni,OMNI,"$32,479,881.59",52.43,"619,478 OMNI *",
02/03/14,9,Namecoin,NMC,"$26,843,614.44",3.29,"8,169,643 NMC",
